Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Brasil,Geramar I (Antiga Tocantinópolis),Fuel oil,,Miranda do Norte - MA,Activa,166,9/1/10,Gera Maranhão - Geradora De Energia Do Maranhão S.A.,Privado,São Luis,Gera Maranhão - Geradora De Energia Do Maranhão S.A.,werid coordinates,,-3.3358225,-44.33313,166,Fuel oil
Brasil,Geramar II (Antiga Nova Olinda),Fuel oil,,Miranda do Norte - MA,Activa,166,6/2/10,Gera Maranhão - Geradora De Energia Do Maranhão S.A.,Privado,São Luis,Gera Maranhão - Geradora De Energia Do Maranhão S.A.,werid coordinates,,-3.3358203,-44.333126,166,Fuel oil
Brasil,Monte Cristo,Diesel,,Boa Vista - RR,Activa,155,29/07/2015,Roraima Energia S.A,Privado,Boa Vista,Roraima Energia S.A,werid coordinates,,-2.554984N,-60.425283,155,Diesel
Brasil,Arembepe (Antiga Camaçari Pólo de Apoio I),Fuel oil,,Camaçari - BA,Activa,150,30/06/2010,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-12.4125,-38.187,150,Fuel oil
Brasil,U-50,Fuel oil,,Ipojuca - PE,Activa,150,27/10/2015,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-8.23941,-35.148014,150,Fuel oil
Brasil,Global I,Fuel oil,,Candeias - BA,Activa,149,7/5/10,Companhia Energética Candeias,Privado,Salvador,Companhia Energética Candeias,werid coordinates,,-12.434881,-38.285252,149,Fuel oil
Brasil,Global II,Fuel oil,,Candeias - BA,Activa,149,20/05/2010,Companhia Energética Candeias,Privado,Salvador,Companhia Energética Candeias,werid coordinates,,-12.434806,-38.285556,149,Fuel oil
Brasil,Sol,Otro,,Serra - ES,Activa,147,19/06/2007,Arcelormittal Brasil S.A.,Privado,Belo Horizonte,Arcelormittal Brasil S.A.,werid coordinates,,-20.742816,-40.184104,147,Otro
Brasil,Muricy (Antiga Camaçari Muricy I),Fuel oil,,Camaçari - BA,Activa,147,30/09/2009,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-12.415574,-38.193266,147,Fuel oil
Brasil,Termomanaus,Diesel,,Igarassu - PE,Activa,143,18/06/2009,Centrais Elétricas De Pernambuco S.A.,Privado,Igarassu,Centrais Elétricas De Pernambuco S.A.,werid coordinates,,-7.51388,-35.178,143,Diesel
Brasil,Goiânia II,Diesel,,Aparecida de Goiânia - GO,Activa,140,17/01/2009,Brentech Energia S.A,Privado,Aparecida de Goiânia,Brentech Energia S.A,werid coordinates,,-16.4738,-49.1422,140,Diesel
Brasil,Celpav IV,Gas natural,,Jacareí - SP,Activa,139,1/8/03,Suzano S.A.,Privado,São Paulo,Suzano S.A.,werid coordinates,,-23.175597,-45.592584,139,Gas
